ScenarioId,Iterations,TabuSize,Repeat,Seed,GreedyOjective,Objective,TotalCost,TotalPenalty,TotalVehicleOperationTime,RoutesCount,DurationMs
0,2000,50,5,25042,1708.7112894196043,1518.0729378379056,93.72681029154438,520.6193172548169,903.7268102915443,2,70421.0933
8,100,10,5,10046,1547.2822102074595,1418.1421275171367,95.60819138818708,346.83271942909647,975.7012166998531,2,7224.4196
7,100,50,5,13042,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,5603.997
8,500,50,5,18042,1547.2822102074595,1416.1603761218335,98.30539102444683,409.5495940729399,908.3053910244467,2,40254.469
5,500,50,5,15045,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,34506.2495
6,100,50,5,12045,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,8684.1734
5,500,10,5,11043,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,24457.3707
7,100,50,5,13043,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,5580.2364
8,100,30,5,12042,1547.2822102074595,1418.1421275171367,95.60819138818708,346.83271942909647,975.7012166998531,2,6693.4526
9,2000,30,5,32044,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,79559.1921
8,2000,30,5,31045,1547.2822102074595,1416.1603761218335,98.30539102444683,409.5495940729399,908.3053910244467,2,82125.199
6,2000,10,5,27044,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,82750.4207
2,500,10,5,8046,1600.2822102074595,1524.7578137412315,93.14809368197419,427.8284271247462,1003.7812929345112,2,21819.8355
4,500,10,5,10042,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,25043.8245
6,100,50,5,12046,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,6633.926
7,100,50,5,13044,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,5203.3144
7,500,50,5,17043,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,31911.4743
8,100,30,5,12043,1547.2822102074595,1418.1421275171367,95.60819138818708,346.83271942909647,975.7012166998531,2,6168.6262
8,100,30,5,12044,1547.2822102074595,1416.1603761218335,98.30539102444683,409.5495940729399,908.3053910244467,2,4931.2919
7,2000,50,5,32042,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,92481.5757
4,2000,50,5,29044,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,90216.5654
9,500,50,5,19043,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,29475.7484
6,2000,50,5,31043,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,97908.3548
0,2000,30,5,23043,1708.7112894196043,1518.0729378379056,93.72681029154438,520.6193172548169,903.7268102915443,2,84561.8716
3,2000,10,5,24042,1718.054435170112,1448.5361471382996,96.004875600827,446.52639593664566,906.004875600827,2,92017.8648
1,2000,30,5,24042,1599.2822102074592,1437.7659803458755,91.68522398640124,394.3135260954402,951.7672302640342,2,95218.8616
6,500,50,5,16045,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,27863.0272
4,500,10,5,10043,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,15917.0685
8,500,50,5,18043,1547.2822102074595,1416.1603761218335,98.30539102444683,409.5495940729399,908.3053910244467,2,25506.4076
5,500,50,5,15046,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,25579.3916
8,2000,30,5,31046,1547.2822102074595,1416.1603761218335,98.30539102444683,409.5495940729399,908.3053910244467,2,100305.8193
9,2000,30,5,32045,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,98454.9138
4,2000,30,5,27046,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,88814.1761
0,2000,10,5,21043,1708.7112894196043,1518.0729378379056,93.72681029154438,520.6193172548169,903.7268102915443,2,85080.4483
7,500,50,5,17044,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,21698.6683
4,2000,30,5,27043,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,93894.8313
4,2000,10,5,25042,1657.5272106258317,1502.5091723595351,89.49471185395903,467.7522458442802,945.2622146612958,2,82621.6916
4,2000,30,5,27044,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,94731.524
6,2000,50,5,31042,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,109544.5312
