Iteration,Timestamp,State,Action,Operator,Reward,QValueBefore,QValueAfter,Epsilon,BestObjective,CurrentObjective,QTableSize,AvgQValue,MaxQValue,MinQValue
132,2025-12-07 22:09:47.913,10,5,cross,0.000000,0.004955,0.004460,0.936584,25678.34,25687.85,20,0.115215,0.385723,0.000000
133,2025-12-07 22:09:48.057,11,0,swap,0.000000,0.000000,0.000000,0.936115,25678.34,25687.85,20,0.115215,0.385723,0.000000
134,2025-12-07 22:09:48.188,11,3,2opt,0.000000,0.000000,0.000000,0.935647,25678.34,25687.85,20,0.115215,0.385723,0.000000
135,2025-12-07 22:09:48.321,11,5,cross,0.000000,0.000000,0.000000,0.935180,25678.34,25687.85,20,0.115215,0.385723,0.000000
136,2025-12-07 22:09:48.549,11,4,oropt,0.000000,0.000000,0.000000,0.934712,25678.34,25687.85,20,0.115215,0.385723,0.000000
137,2025-12-07 22:09:48.671,11,5,cross,0.000000,0.000000,0.000000,0.934245,25678.34,25687.85,20,0.115215,0.385723,0.000000
138,2025-12-07 22:09:48.804,11,5,cross,0.000000,0.000000,0.000000,0.933777,25678.34,25687.85,20,0.115215,0.385723,0.000000
139,2025-12-07 22:09:48.914,11,0,swap,0.000000,0.000000,0.000000,0.933311,25678.34,25687.85,20,0.115215,0.385723,0.000000
140,2025-12-07 22:09:49.084,11,3,2opt,0.000000,0.000000,0.000000,0.932844,25678.34,25687.85,20,0.115215,0.385723,0.000000
141,2025-12-07 22:09:49.269,11,4,oropt,0.000000,0.000000,0.000000,0.932377,25678.34,25687.85,20,0.115215,0.385723,0.000000
142,2025-12-07 22:09:49.425,11,2,invert,0.000000,0.000000,0.000000,0.931911,25678.34,25687.85,20,0.115215,0.385723,0.000000
143,2025-12-07 22:09:49.553,11,1,insert,0.000000,0.000000,0.000000,0.931445,25678.34,25687.85,20,0.115215,0.385723,0.000000
144,2025-12-07 22:09:49.687,11,3,2opt,0.000000,0.000000,0.000000,0.930980,25678.34,25687.85,20,0.115215,0.385723,0.000000
145,2025-12-07 22:09:49.900,11,1,insert,0.000000,0.000000,0.000000,0.930514,25678.34,25687.85,20,0.115215,0.385723,0.000000
146,2025-12-07 22:09:50.116,11,0,swap,0.000000,0.000000,0.000000,0.930049,25678.34,25687.85,20,0.115215,0.385723,0.000000
147,2025-12-07 22:09:50.314,11,5,cross,0.000000,0.000000,0.000000,0.929584,25678.34,25687.85,20,0.115215,0.385723,0.000000
148,2025-12-07 22:09:50.514,11,5,cross,0.000000,0.000000,0.000000,0.929119,25678.34,25687.85,20,0.115215,0.385723,0.000000
149,2025-12-07 22:09:50.675,11,0,swap,0.000000,0.000000,0.000000,0.928655,25678.34,25687.85,20,0.115215,0.385723,0.000000
150,2025-12-07 22:09:50.817,11,2,invert,0.000000,0.000000,0.000000,0.928190,25678.34,25687.85,20,0.115215,0.385723,0.000000
151,2025-12-07 22:09:51.011,11,1,insert,0.000000,0.000000,0.000000,0.927726,25678.34,25687.85,20,0.115215,0.385723,0.000000
152,2025-12-07 22:09:51.165,11,0,swap,0.000000,0.000000,0.000000,0.927262,25678.34,25687.85,20,0.115215,0.385723,0.000000
153,2025-12-07 22:09:51.273,11,0,swap,0.000000,0.000000,0.000000,0.926799,25678.34,25687.85,20,0.115215,0.385723,0.000000
154,2025-12-07 22:09:51.460,11,3,2opt,0.000000,0.000000,0.000000,0.926335,25678.34,25687.85,20,0.115215,0.385723,0.000000
155,2025-12-07 22:09:51.656,11,3,2opt,0.000000,0.000000,0.000000,0.925872,25678.34,25687.85,20,0.115215,0.385723,0.000000
156,2025-12-07 22:09:51.773,11,5,cross,0.000000,0.000000,0.000000,0.925409,25678.34,25687.85,20,0.115215,0.385723,0.000000
157,2025-12-07 22:09:51.884,11,3,2opt,0.000000,0.000000,0.000000,0.924946,25678.34,25687.85,20,0.115215,0.385723,0.000000
158,2025-12-07 22:09:52.020,11,2,invert,-0.281634,0.000000,-0.028163,0.924484,25678.34,25760.20,20,0.113807,0.385723,-0.028163
159,2025-12-07 22:09:52.145,11,4,oropt,0.000000,0.000000,0.000000,0.924022,25678.34,25760.20,20,0.113807,0.385723,-0.028163
160,2025-12-07 22:09:52.308,11,3,2opt,0.000000,0.000000,0.000000,0.923560,25678.34,25760.20,20,0.113807,0.385723,-0.028163
161,2025-12-07 22:09:52.493,11,2,invert,0.000000,-0.028163,-0.025347,0.923098,25678.34,25760.20,20,0.113948,0.385723,-0.025347
162,2025-12-07 22:09:52.619,11,5,cross,0.000000,0.000000,0.000000,0.922636,25678.34,25760.20,20,0.113948,0.385723,-0.025347
163,2025-12-07 22:09:52.786,11,1,insert,0.000000,0.000000,0.000000,0.922175,25678.34,25760.20,20,0.113948,0.385723,-0.025347
164,2025-12-07 22:09:52.934,11,3,2opt,0.000000,0.000000,0.000000,0.921714,25678.34,25760.20,20,0.113948,0.385723,-0.025347
165,2025-12-07 22:09:53.074,11,4,oropt,0.000000,0.000000,0.000000,0.921253,25678.34,25760.20,20,0.113948,0.385723,-0.025347
166,2025-12-07 22:09:53.230,11,3,2opt,0.000000,0.000000,0.000000,0.920792,25678.34,25760.20,20,0.113948,0.385723,-0.025347
167,2025-12-07 22:09:53.410,11,2,invert,0.000000,-0.025347,-0.022812,0.920332,25678.34,25760.20,20,0.114075,0.385723,-0.022812
168,2025-12-07 22:09:53.585,11,3,2opt,0.000000,0.000000,0.000000,0.919872,25678.34,25760.20,20,0.114075,0.385723,-0.022812
169,2025-12-07 22:09:53.730,11,5,cross,-0.285067,0.000000,-0.028507,0.919412,25678.34,25833.63,20,0.112649,0.385723,-0.028507
170,2025-12-07 22:09:53.858,11,2,invert,0.000000,-0.022812,-0.020531,0.918952,25678.34,25833.63,20,0.112763,0.385723,-0.028507
171,2025-12-07 22:09:54.018,11,0,swap,-0.342257,0.000000,-0.034226,0.918493,25678.34,25922.05,20,0.111052,0.385723,-0.034226
172,2025-12-07 22:09:54.105,11,2,invert,0.000000,-0.020531,-0.018478,0.918034,25678.34,25922.05,20,0.111155,0.385723,-0.034226
173,2025-12-07 22:09:54.199,11,5,cross,0.000000,-0.028507,-0.025656,0.917574,25678.34,25922.05,20,0.111297,0.385723,-0.034226
174,2025-12-07 22:09:54.325,11,1,insert,0.000000,0.000000,0.000000,0.917116,25678.34,25922.05,20,0.111297,0.385723,-0.034226
175,2025-12-07 22:09:54.466,11,4,oropt,0.378816,0.000000,0.037882,0.916657,25678.34,25823.85,20,0.113191,0.385723,-0.034226
176,2025-12-07 22:09:54.622,11,0,swap,0.027825,-0.034226,-0.024611,0.916199,25678.34,25816.67,20,0.113672,0.385723,-0.025656
177,2025-12-07 22:09:54.750,11,4,oropt,0.849119,0.037882,0.122415,0.915741,25597.45,25597.45,20,0.117899,0.385723,-0.025656
178,2025-12-07 22:09:54.851,11,5,cross,0.000000,-0.025656,-0.012073,0.915283,25597.45,25597.45,20,0.118578,0.385723,-0.024611
179,2025-12-07 22:09:54.990,11,4,oropt,0.000000,0.122415,0.121191,0.914825,25597.45,25597.45,20,0.118517,0.385723,-0.024611
180,2025-12-07 22:09:55.147,11,1,insert,0.000000,0.000000,0.010907,0.914368,25597.45,25597.45,20,0.119062,0.385723,-0.024611
181,2025-12-07 22:09:55.287,11,4,oropt,0.000000,0.121191,0.119979,0.913911,25597.45,25597.45,20,0.119002,0.385723,-0.024611
182,2025-12-07 22:09:55.483,11,3,2opt,0.000000,0.000000,0.010798,0.913454,25597.45,25597.45,20,0.119541,0.385723,-0.024611
183,2025-12-07 22:09:55.653,11,5,cross,0.000000,-0.012073,-0.000068,0.912997,25597.45,25597.45,20,0.120142,0.385723,-0.024611
184,2025-12-07 22:09:55.831,11,1,insert,0.000000,0.010907,0.020615,0.912540,25597.45,25597.45,20,0.120627,0.385723,-0.024611
185,2025-12-07 22:09:56.016,11,0,swap,0.000000,-0.024611,-0.011352,0.912084,25597.45,25597.45,20,0.121290,0.385723,-0.018478
186,2025-12-07 22:09:56.199,11,3,2opt,0.000000,0.010798,0.020516,0.911628,25597.45,25597.45,20,0.121776,0.385723,-0.018478
187,2025-12-07 22:09:56.326,11,4,oropt,0.000000,0.119979,0.118779,0.911172,25597.45,25597.45,20,0.121716,0.385723,-0.018478
188,2025-12-07 22:09:56.448,11,0,swap,0.000000,-0.011352,0.000473,0.910717,25597.45,25597.45,20,0.122307,0.385723,-0.018478
189,2025-12-07 22:09:56.579,11,0,swap,0.000000,0.000473,0.011116,0.910261,25597.45,25597.45,20,0.122839,0.385723,-0.018478
